	0	19	0	1072025	31072025	SUPERMERCADO FRUTILÂNDIA LTDA	4,79296E+12		MS	283206993	5007901			A	1																							
	C170	19	PROD7361	RAVIOLI MEZZANI 400G FRANGO	3	UN	34,08	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	20	PROD7358	CAPELETTI MEZZANI 400G FRANGO	3	UN	34,08	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	21	PROD7362	NHOQUE BATATA MEZZANI 500G	3	UN	40,5	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	22	PROD7363	TALHARIM MEZZANI 500GR	3	UN	37,05	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	23	PROD45619	CREME DE RICOTA GALBANI 200G	6	UN	46,2	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	24	PROD44727	CREME DE RICOTA GALBANI 200G LIGHT	6	UN	46,2	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C190	60	1403	0	989,4	0	0	0	0	0	0																											
	C100	0	1	FORN213	55	0	0	308537	5,02507E+43	11072025	15072025	2723,94	1	15,72	0	2692,38	9	0	0	0	428,27	72,81	0	0	0	6,12	28,22	0	0									
	C170	1	PROD21929	CAFE FORT 250G ALMOFADA	40	UN	520	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	2	PROD10521	CAFE FORT 500G ALMOFADA	40	UN	1040	0	0	20	1102	NAT01102	428,27	17	72,81	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	3	PROD27251	ACHOCOLATADO TRES CORACOES 700G SACHE	12	UN	182,76	15,72	0	560	1403	NAT01403	0	0	0	0	0	0				0	0	0	50	186,25	1,65			3,07	50	186,25	7,6			14,16		0
	C170	4	PROD21928	ACHOCOLATADO TRES CORACOES 300G SACHE	24	UN	169,62	0	0	560	1403	NAT01403	0	0	0	0	0	0				0	0	0	50	184,97	1,65			3,05	50	184,97	7,6			14,06		0
